"schema_name","table_name","column_order","column_name","data_type","column_comment"
web_app,idx_supplier_cage,1,cage_code,character varying(20),
web_app,idx_supplier_code,1,supplier_code,character varying(20),
web_app,idx_tech_doc_eswbs,1,eswbs_code,character varying(20),
web_app,idx_user_email,1,email,character varying(120),
web_app,idx_user_is_active,1,is_active,boolean,
web_app,idx_user_role,1,role,character varying(50),
web_app,idx_user_username,1,username,character varying(80),
web_app,item,1,item_uuid,uuid,品項UUID（主鍵）
web_app,item,2,item_code,character varying(50),統一識別碼（CID或NIIN）
web_app,item,3,item_name_zh,character varying(100),中文品名
web_app,item,4,item_name_en,character varying(200),英文品名
web_app,item,5,item_type,character varying(10),品項類型：FG(成品)/SEMI(半成品)/RM(原物料)
web_app,item,6,uom,character varying(10),基本計量單位
web_app,item,7,status,character varying(20),狀態：Active/Inactive
web_app,item,8,date_created,timestamp without time zone,
web_app,item,9,date_updated,timestamp without time zone,
web_app,item_document_xref,1,item_uuid,uuid,
web_app,item_document_xref,2,document_id,integer,
web_app,item_document_xref,3,date_created,timestamp without time zone,
web_app,item_document_xref,4,date_updated,timestamp without time zone,
web_app,item_document_xref_pkey,1,item_uuid,uuid,
web_app,item_document_xref_pkey,2,document_id,integer,
web_app,item_emu3000_maintenance_ext,1,ext_uuid,uuid,
web_app,item_emu3000_maintenance_ext,2,item_uuid,uuid,
web_app,item_emu3000_maintenance_ext,3,part,character varying(255),
web_app,item_emu3000_maintenance_ext,4,quantity,"numeric(10,4)",
web_app,item_emu3000_maintenance_ext,5,unit,character varying(50),
web_app,item_emu3000_maintenance_ext,6,name,character varying(255),
web_app,item_emu3000_maintenance_ext,7,wec,character varying(100),
web_app,item_emu3000_maintenance_ext,8,notes,text,
web_app,item_emu3000_maintenance_ext,9,kit_no,character varying(100),
web_app,item_emu3000_maintenance_ext,10,date_created,timestamp without time zone,
web_app,item_emu3000_maintenance_ext,11,date_updated,timestamp without time zone,
web_app,item_emu3000_maintenance_ext_pkey,1,ext_uuid,uuid,
web_app,item_equipment_ext,1,item_uuid,uuid,品項UUID
web_app,item_equipment_ext,2,equipment_type,character varying(50),裝備形式（裝備型號/型式）
web_app,item_equipment_ext,3,ship_type,character varying(50),艦型
web_app,item_equipment_ext,4,usage_location,character varying(100),裝設地點（安裝位置）
web_app,item_equipment_ext,5,parent_equipment_zh,character varying(100),上層適用裝備中文名稱
web_app,item_equipment_ext,6,parent_equipment_en,character varying(200),上層適用裝備英文名稱
web_app,item_equipment_ext,7,parent_cid,character varying(50),上層適用裝備CID
web_app,item_equipment_ext,8,eswbs_code,character varying(20),族群結構碼HSC（ESWBS五碼）
web_app,item_equipment_ext,9,system_function_name,character varying(200),系統功能名稱
web_app,item_equipment_ext,10,installation_qty,integer,同一類型數量（單艦裝置數量）
web_app,item_equipment_ext,11,total_installation_qty,integer,全艦裝置數
web_app,item_equipment_ext,12,maintenance_level,character varying(10),裝備維修等級代碼
web_app,item_equipment_ext,13,equipment_serial,character varying(50),裝備序號（裝備識別編號）
web_app,item_equipment_ext,14,date_created,timestamp without time zone,
web_app,item_equipment_ext,15,date_updated,timestamp without time zone,
web_app,item_equipment_ext_equipment_serial_key,1,equipment_serial,character varying(50),
web_app,item_equipment_ext_pkey,1,item_uuid,uuid,
web_app,item_item_code_key,1,item_code,character varying(50),
web_app,item_material_ext,1,item_uuid,uuid,品項UUID
web_app,item_material_ext,2,item_id_last5,character varying(5),品項識別碼（後五碼）
web_app,item_material_ext,3,item_name_zh_short,character varying(20),中文品名（9字內）
web_app,item_material_ext,4,nsn,character varying(20),NSN/國家料號
web_app,item_material_ext,5,category_code,character varying(10),統一組類別
web_app,item_material_ext,6,item_code,character varying(10),品名代號
web_app,item_material_ext,7,fiig,character varying(10),FIIG
web_app,item_material_ext,8,weapon_system_code,character varying(20),武器系統代號
web_app,item_material_ext,9,accounting_unit_code,character varying(20),會計編號
web_app,item_material_ext,10,issue_unit,character varying(10),撥發單位（EA/SET/LOT等）
web_app,item_material_ext,11,unit_price,"numeric(10,2)",美金單價
web_app,item_material_ext,12,unit_pack_quantity,integer,單位包裝量
web_app,item_material_ext,13,weight_kg,"numeric(10,3)",重量（KG）
web_app,item_material_ext,14,has_stock,boolean,有無料號
